county,year,sex,age_band,population
HomaBay,2021,m,35,28417.0
HomaBay,2021,m,40,22076.0
HomaBay,2021,m,45,15152.0
HomaBay,2021,m,50,11711.0
HomaBay,2021,m,55,10384.0
HomaBay,2021,m,60,8365.0
HomaBay,2021,m,65,5740.0
HomaBay,2021,m,70,4141.0
HomaBay,2021,m,75,2201.0
HomaBay,2021,m,80,1151.0
HomaBay,2021,m,85,630.0
HomaBay,2021,m,90,412.0
Isiolo,2021,f,00,6131.0
Isiolo,2021,f,01,24038.0
Isiolo,2021,f,05,29172.0
Isiolo,2021,f,10,26181.0
Isiolo,2021,f,15,21176.0
Isiolo,2021,f,20,16950.0
Isiolo,2021,f,25,13812.0
Isiolo,2021,f,30,11891.0
Isiolo,2021,f,35,9130.0
Isiolo,2021,f,40,6401.0
Isiolo,2021,f,45,4972.0
Isiolo,2021,f,50,4103.0
Isiolo,2021,f,55,3461.0
Isiolo,2021,f,60,2642.0
Isiolo,2021,f,65,1434.0
Isiolo,2021,f,70,1152.0
Isiolo,2021,f,75,611.0
Isiolo,2021,f,80,421.0
Isiolo,2021,f,85,346.0
Isiolo,2021,f,90,306.0
Isiolo,2021,m,00,6274.0
Isiolo,2021,m,01,24582.0
Isiolo,2021,m,05,30817.0
Isiolo,2021,m,10,29041.0
Isiolo,2021,m,15,24997.0
Isiolo,2021,m,20,18588.0
Isiolo,2021,m,25,15109.0
Isiolo,2021,m,30,13747.0
Isiolo,2021,m,35,10472.0
Isiolo,2021,m,40,8028.0
Isiolo,2021,m,45,5597.0
Isiolo,2021,m,50,4874.0
Isiolo,2021,m,55,3524.0
Isiolo,2021,m,60,3227.0
Isiolo,2021,m,65,1564.0
Isiolo,2021,m,70,1261.0
Isiolo,2021,m,75,648.0
Isiolo,2021,m,80,338.0
Isiolo,2021,m,85,222.0
Isiolo,2021,m,90,164.0
Kajiado,2021,f,00,20886.0
Kajiado,2021,f,01,81871.0
Kajiado,2021,f,05,91681.0
Kajiado,2021,f,10,81195.0
Kajiado,2021,f,15,68963.0
Kajiado,2021,f,20,82137.0
Kajiado,2021,f,25,75606.0
Kajiado,2021,f,30,61009.0
Kajiado,2021,f,35,47335.0
Kajiado,2021,f,40,33743.0
Kajiado,2021,f,45,25703.0
Kajiado,2021,f,50,19612.0
